id,title,date,description,city,country,company,link,source,company_logo,lang,domain,hskills,salary_estimation,sskills,profile,education,experience,langues,deadline
7997952,Gouvernante Générale ,2023-09-30T01:00:04+01:00,"<p>Nous sommes à la recherche d'une <strong>Gouvernante Générale </strong></p>
<p><u><strong>Missions:</strong></u></p>
<ul>
<li>Assurer la propreté et l'ordre des espaces communs et des chambres des résidents.</li>
<li>Superviser le personnel de ménage et coordonner les plannings pour assurer une répartition équitable des tâches.</li>
<li>Veiller à ce que les besoins des résidents soient satisfaits, en vous montrant attentif(ve) à leurs préférences et en assurant un service de haute qualité.</li>
<li>Gérer les stocks et passer les commandes pour les produits de nettoyage et les fournitures ménagères.</li>
<li>Effectuer des tâches ménagères supplémentaires selon les besoins de la résidence.</li>
<li>Collaborer avec d'autres membres du personnel pour garantir une ambiance harmonieuse et un environnement agréable pour tous.</li>
</ul>
",Marrakech ,Maroc,VHP ASSIST,https://www.emploi.ma/offre-emploi-maroc/gouvernante-generale-7997952,Emploi.ma,https://www.emploi.ma/sites/default/files/styles/thumbnail/public/logo/logo_1_18.png?itok=ebgRbFkT,fr,"assistance, secrétariat et accueil",,4059,,,,,,
8001157,Développeur Logiciel Polyvalent / Intégrateur D&#039;applications,2023-09-30T01:00:04+01:00,"<p>Nous sommes à la recherche d'un <strong>Développeur Logiciel Polyvalent / Intégrateur D'applications.</strong></p>
<p><strong>Service : </strong>Développement et Intégration.</p>
<p><strong>Rattachement hiérarchique :</strong> Chef de projet développement.</p>
<p><strong>Missions principales :</strong> Concevoir, développer, intégrer et maintenir des logiciels et applications pour répondre aux besoins opérationnels de l'entreprise tout en assurant une documentation technique appropriée.</p>
<p><strong><u>Missions :</u></strong></p>
<ul>
<li>Rédaction de la documentation technique pertinente et s'assurer que les systèmes s'intègrent correctement dans l'infrastructure existante ;</li>
<li>Développement du logiciel polyvalent et intégration d’application ;</li>
<li>Intégration de la maintenance de logiciels et d’applications.</li>
</ul>
<p><strong><u>Responsabilités principales :</u></strong></p>
<ul>
<li><strong>Rédaction de la documentation technique :</strong>
<ul>
<li>Création des documents techniques détaillés pour chaque projet ou logiciel développé;</li>
<li>Mise à jour régulière de la documentation pour refléter les changements ou les mises à jour.</li>
</ul>
</li>
<li><strong>Développement de logiciels et applications :</strong>
<ul>
<li>Conception, codage, test et déploiement de logiciels ou d'applications en accord avec les besoins de l'entreprise ;</li>
<li>Collaboration avec les équipes pour s'assurer que les solutions développées répondent aux spécifications.</li>
</ul>
</li>
<li><strong>Intégration d'applications et de systèmes :</strong>
<ul>
<li>Mise en place et configuration des logiciels et applications pour qu'ils s'intègrent correctement à l'infrastructure existante ;</li>
<li>Résolution des problèmes d'intégration et d'interopérabilité.</li>
</ul>
</li>
<li><strong>Maintenance et mise à jour des logiciels :</strong>
<ul>
<li>Diagnostic et résolution des bugs ou problèmes ;</li>
<li>Mise à jour des logiciels pour améliorer leurs performances ou pour se conformer aux nouvelles exigences.</li>
</ul>
</li>
</ul>
<ul></ul>
<ul></ul>
",Casablanca - Nouasseur,Maroc,LOGISMAR,https://www.emploi.ma/offre-emploi-maroc/developpeur-logiciel-polyvalent-integrateur-applications-8001157,Emploi.ma,https://www.emploi.ma/sites/default/files/styles/thumbnail/public/logo/logo_logismar.jpeg?itok=dBeHqH_j,fr,développement informatique,"documentation, documentation, maintenance, documentation, documentation, maintenance",8783,polyvalent,"développeur
chef de projet",,,,
8018875,Assistant(e) Marketing,2023-09-30T01:00:04+01:00,"<p>Nous sommes à la recherche d'un(e) <strong>Assistant(e) Marketing.</strong></p>
<p>Rattaché (e) au servie Marketing au sein de la direction Développement, l’assistant (e) marketing participe au développement des produits et services durant les différentes phases allant de la conception à la mise à disposition sur le marché.</p>
<p>De la réalisation d'enquêtes de satisfaction client aux études de marché, en passant par des missions visant à renforcer l'image de marque de l'entreprise, les principales missions de l'assistant(e) marketing sont :</p>
<p><u><strong>Missions :</strong></u></p>
<ul>
<li>Collecte, traitement et présentation d'informations ;</li>
<li>Participation au marketing opérationnel, en mettant en œuvre des actions de phoning et d'envoi d'e-mails, tout en assurant le suivi et la création de rapports ;</li>
<li>Surveillance de l'offre de produits et de services ;</li>
<li>Contribution à la création de nouveaux supports de vente ;</li>
<li>Piloter les stocks liés aux opérations marketing (objets publicitaires, supports…) ;</li>
<li>Gestion des plannings et de l'agenda des événements ;</li>
<li>Réalisation d'analyses statistiques et veille concurrentielle ;</li>
<li>Coordination interne au sein de l'entreprise, facilitant les échanges d'informations entre différentes interfaces et le service marketing ;</li>
<li>Suivre le budget prévisionnel marketing, gérer les en-cours et les factures.</li>
</ul>
",Mohammedia,Maroc,PLASTIMA,https://www.emploi.ma/offre-emploi-maroc/assistant-e-marketing-8018875,Emploi.ma,https://www.emploi.ma/sites/default/files/styles/thumbnail/public/logo/logo-plastima_0.png?itok=lErrbjUV,fr,marketing,"marketing, marketing, marketing, marketing, marketing, veille concurrentielle, marketing, marketing",8275,,,,,,
8024467,Formateur Vacataire ,2023-09-30T01:00:04+01:00,"<p>Nous sommes à la recherche d'un <strong>Formateur Vacataire.</strong></p>
<p><u><strong>Missions :</strong></u></p>
<ul>
<li>Être responsable de l'acquisition des connaissances et savoir-faire par les stagiaires : de la démarche pédagogique pour atteindre les objectifs, leur faire acquérir les compétences prévues dans les modules de formation qui lui sont confiés, selon les conditions et dispositions techniques et pédagogiques afférentes à ces modules ;</li>
<li>Le Formateur a pour mission d’assurer le développement des compétences des stagiaires, du personnel de l’Institut de formation, et du personnel des entreprises pour satisfaire les besoins du marché du travail en compétences, pour cela il est amené à planifier, concevoir, dispenser, et évaluer des formations permettant l’atteinte des compétences ;</li>
<li>Cette fonction consiste à réaliser les prestations de l’Institut : prise en charge des actions de formation des stagiaires en formation initiale et / ou des participants en formation continue, services aux entreprises.</li>
</ul>
<ul>
<li>Tenir au respect des programmes (contenus et progression), sous le contrôle du chef de département pédagogique ;</li>
<li>Être responsable de l'atteinte des objectifs en termes d'heures de formation et d'activités en dehors des heures de formation, dans le cadre d'un contrat annuel d'objectifs ;</li>
<li>Être responsable de l'adaptation permanente de la formation aux exigences des métiers (veille technologique et ingénierie de formation) ;</li>
<li>Être responsable des stagiaires durant la formation (horaires, discipline, sécurité) sous le contrôle du chef de département pédagogique ;</li>
<li>Être responsable du matériel pédagogique (équipements, matières d'œuvre) sous le contrôle du chef de département pédagogique ; gestion d'un budget propre de matière d'œuvre et pièces détachées.</li>
</ul>
","Fès Jdid, Fès, Morocco",Maroc,INSTITUT DE FORMATION AUX MÉTIERS DU BTP ,https://www.emploi.ma/offre-emploi-maroc/formateur-vacataire-8024467,Emploi.ma,https://www.emploi.ma/sites/default/files/styles/thumbnail/public/logo/logo_-_vertical_-_officiel_-_fond_blanc.png?itok=UbOAnhLL,fr,ressources humaines,,4431,"veille technologique
adaptation",,,,,
8026594,Ingénieur Génie Civil (Hydraulicien),2023-09-30T01:00:04+01:00,"<p>Notre entreprise recherche un <strong>Ingénieur d'État en Génie Civil </strong>spécialisé en hydraulique.</p>
<p>Nous recherchons un candidat compétent et expérimenté ayant une connaissance approfondie des métiers de l'eau et de assainissement.</p>
<p><u><strong>Missions :</strong></u></p>
<ul>
<li>Superviser et coordonner les études générales ;</li>
<li>Superviser et coordonner les schémas directeurs en coordination avec le Services d’Étude et planification ;</li>
<li>Suivi et coordination du programme d’investissement de la délégation de Fkih Ben Salah ;</li>
<li>Suivi de la gestion des marchés jusqu'à réalisation des investissements de la délégation de Fkih Ben Salah ;</li>
<li>Suivi et coordination inter-services pour la réalisation des investissements ;</li>
<li>Établissements des DCE des travaux et études de la délégation ;</li>
<li>Établissements des Ordres de services des marchés de la délégation ;</li>
<li>Validation des attachements, des décomptes, des factures et des ordres de service ;</li>
<li>Suivi de la vérification et signature des plans de recollement ;</li>
<li>Participer aux différentes réunions avec les services extérieurs ;</li>
<li>Veiller à la sécurisation de la distribution en eau potable des villes et centres relevant de délégation de Fkih Ben Salah ;</li>
<li>Veiller à l’élaboration et au respect des programmes de la maintenance préventive du réseau d’eau potable et d’assainissement liquide des villes et centres relevant de délégation de Fkih Ben Salah ;</li>
<li>Assurer l’amélioration du délai d’intervention des équipes ;</li>
<li>Veiller au respect des délais de traitement des réclamations des clients ;</li>
<li>Veiller au respect du processus de lancement des appels d’offres planifiés ;</li>
<li>Veiller à l’amélioration de la qualité de services rendus aux clients.</li>
</ul>
",Béni Mellal,Maroc,BRAIN MANAGEMENT,https://www.emploi.ma/offre-emploi-maroc/ingenieur-genie-civil-hydraulicien-8026594,Emploi.ma,https://www.emploi.ma/sites/default/files/styles/thumbnail/public/logo/logo_brain_management-01.png?itok=KXf7w1le,fr,"assistance, secrétariat et accueil",maintenance,8557,,ingénieur,génie civil,,,
8026602, Ingénieur Informaticien,2023-09-30T01:00:04+01:00,"<p>Nous sommes à la recherche d'un <strong>Ingénieur Informaticien.</strong></p>
<p><u><strong>Missions :</strong></u></p>
<ul>
<li>Gestion du parc informatique, de l’infrastructure, et de la sécurité SI ;</li>
<li>Management de l’équipe SI ;</li>
<li>Intégration et formation des nouveaux membres de l’équipe SI ;</li>
<li>Élaboration des cahiers de charges pour la mise en place des solutions ;</li>
<li>Maintenir en condition opérationnelle les infrastructures SI ;</li>
<li>Garantir la sécurité et la confidentialité des données ainsi que le respect des règles de sécurité ;</li>
<li>Assurer la Réalisation des projets SI programmé.</li>
</ul>
",Béni Mellal,Maroc,BRAIN MANAGEMENT,https://www.emploi.ma/offre-emploi-maroc/ingenieur-informaticien-8026602,Emploi.ma,https://www.emploi.ma/sites/default/files/styles/thumbnail/public/logo/logo_brain_management-01.png?itok=KXf7w1le,fr,"assistance, secrétariat et accueil",,2954,,"ingénieur
informaticien",,,,
8030490,Chargé Développement SI (Développeur .NET),2023-09-30T01:00:04+01:00,"<p>Nous sommes à la recherche d'un <strong>Chargé Développement SI.</strong> </p>
<p><u><strong>Missions :</strong></u></p>
<ul>
<li>Participer à la conception, le développement des applications informatiques</li>
<li>Assurer le maintien et la mise en production de ces applications.</li>
</ul>
",Casablanca,Maroc,BOTTU,https://www.emploi.ma/offre-emploi-maroc/charge-developpement-si-developpeur-net-8030490,Emploi.ma,https://www.emploi.ma/sites/default/files/styles/thumbnail/public/logo/logo_28_08_23.png?itok=HJ5VzIJ9,fr,développement informatique,,2764,,développeur,,,,
8031116,Chef de Site Maintenance Multitechnique,2023-09-30T01:00:04+01:00,"<p>Dans le cadre du développement de nos activités dans le domaine du facility management, nous cherchons à recruter un <strong>Chef de Site Maintenance Multitechnique.</strong> </p>
<p>Vous encadrez une équipe et effectuez des prestations de maintenance multi-technique sur le site client.</p>
<p><u><strong>Missions :</strong></u></p>
<ul>
<li>Encadrer une équipe de techniciens sur site</li>
<li>Assurer le suivi de la maintenance préventive et corrective (planification des interventions, suivi de leur bonne réalisation, ..)</li>
<li>Assurer le suivi des PdR</li>
<li>Assurer le suivi et l'optimisation des consommations énergétiques</li>
<li>Gérer les demandes d'intervention sur la GMAO</li>
<li>Identifier et anticiper les problèmes et apporter des solutions techniques</li>
<li>Établir les rapports techniques </li>
<li>Être le garant de l'image de l’entreprise sur le site client.</li>
</ul>
<p>Le poste est basé à Rabat</p>
",Rabat,Maroc,N.C.,https://www.emploi.ma/offre-emploi-maroc/chef-site-maintenance-multitechnique-8031116,Emploi.ma,https://www.emploi.ma/sites/all/themes/africawork2/images/logo-non-dispo.jpg,fr,"assistance, secrétariat et accueil","maintenance, maintenance, maintenance",5616,,,,,,
8033910,Juriste Senior Anglophone - Casablanca,2023-09-30T01:00:04+01:00,"<p><strong><u>Poste</u></strong> :</p>
<p>Nous sommes à la recherche d'un <strong>Juriste Senior Anglophone </strong>sur la ville de Casablanca.</p>
<p><strong><u>Principales attributions</u></strong> :</p>
<ul>
<li>Élaborer et gérer les contrats et conventions liant Bottu à des tiers</li>
<li>Proposer et faire valider par la hiérarchie les conditions de forme et de fond lors de la rédaction d’un contrat</li>
<li>Garantir que la formulation du contrat couvre toutes les garanties légales et conventionnelles requises pour un bon aboutissement de la relation contractuelle</li>
<li>Assurer le suivi des contrats dans le respect de la règlementation nationale et internationale</li>
<li>Assister et conseiller les opérationnels dans la gestion de la relation clients/ fournisseurs/partenaires conformément aux dispositions contractuelles</li>
<li>Centraliser l’ensemble des contrats de la société tout en garantissant leur validité juridique et commerciale</li>
<li>Assurer une veille réglementaire et législative</li>
<li>Participer à la maîtrise des risques juridiques et à la gestion rigoureuse des contentieux.</li>
</ul>
",Casablanca,Maroc,BOTTU,https://www.emploi.ma/offre-emploi-maroc/juriste-senior-anglophone-casablanca-8033910,Emploi.ma,https://www.emploi.ma/sites/default/files/styles/thumbnail/public/logo/logo_28_08_23.png?itok=HJ5VzIJ9,fr,juridique,maîtrise des risques,5785,rigoureuse,,,,anglophone,
8035128,Ingénieur en Génie Civil - Etudes/Autouroutes,2023-09-30T01:00:04+01:00,"<p>Nous recherchons pour nos besoins de service un <strong>Ingénieur en Génie Civil</strong> pour la réalisation d'études.</p>
<p><strong><u>Missions</u></strong> :</p>
<ul>
<li>Réaliser des études de projets au sein d'une équipe pluridisciplinaire</li>
<li>Réaliser des modèles numériques sur les logiciels Covadis et Autopiste</li>
<li>Coordonner la réalisation d'études de projets en assurant la gestion des projets en termes de coûts, planning, délais, qualité des livrables et respect des réglementations</li>
<li>Participer aux réunions avec les clients et les parties prenantes.</li>
</ul>
",Berrechid ,Maroc,INNOV ENGINEERING CONSULTING,https://www.emploi.ma/offre-emploi-maroc/ingenieur-genie-civil-8035128,Emploi.ma,https://www.emploi.ma/sites/default/files/styles/thumbnail/public/logo/logo_02.jpg?itok=S3fvbvpo,fr,électronique,gestion des projets,4965,,"ingénieur
ingénieur en génie civil",,,,
